NUMBER OF EDGES,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
25,DETERMINISTIC,PROXIMITY,50
25,DETERMINISTIC,DEGREE,50
25,DETERMINISTIC,PROTECTION,50
50,DETERMINISTIC,PROXIMITY,50
50,DETERMINISTIC,DEGREE,41
50,DETERMINISTIC,PROTECTION,36
75,DETERMINISTIC,PROXIMITY,50
75,DETERMINISTIC,DEGREE,21
75,DETERMINISTIC,PROTECTION,8
100,DETERMINISTIC,PROXIMITY,50
100,DETERMINISTIC,DEGREE,6
100,DETERMINISTIC,PROTECTION,5
125,DETERMINISTIC,PROXIMITY,50
125,DETERMINISTIC,DEGREE,3
125,DETERMINISTIC,PROTECTION,2
150,DETERMINISTIC,PROXIMITY,50
150,DETERMINISTIC,DEGREE,1
150,DETERMINISTIC,PROTECTION,1
175,DETERMINISTIC,PROXIMITY,50
175,DETERMINISTIC,DEGREE,2
175,DETERMINISTIC,PROTECTION,0
200,DETERMINISTIC,PROXIMITY,50
200,DETERMINISTIC,DEGREE,0
200,DETERMINISTIC,PROTECTION,0
225,DETERMINISTIC,PROXIMITY,50
225,DETERMINISTIC,DEGREE,0
225,DETERMINISTIC,PROTECTION,0
250,DETERMINISTIC,PROXIMITY,50
250,DETERMINISTIC,DEGREE,0
250,DETERMINISTIC,PROTECTION,0
