NUMBER OF EDGES,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
25,MIXED,PROXIMITY,50
25,MIXED,DEGREE,50
25,MIXED,PROTECTION,50
50,MIXED,PROXIMITY,48
50,MIXED,DEGREE,47
50,MIXED,PROTECTION,44
75,MIXED,PROXIMITY,45
75,MIXED,DEGREE,19
75,MIXED,PROTECTION,19
100,MIXED,PROXIMITY,33
100,MIXED,DEGREE,17
100,MIXED,PROTECTION,22
125,MIXED,PROXIMITY,28
125,MIXED,DEGREE,9
125,MIXED,PROTECTION,18
150,MIXED,PROXIMITY,14
150,MIXED,DEGREE,4
150,MIXED,PROTECTION,35
175,MIXED,PROXIMITY,10
175,MIXED,DEGREE,1
175,MIXED,PROTECTION,41
200,MIXED,PROXIMITY,4
200,MIXED,DEGREE,2
200,MIXED,PROTECTION,44
225,MIXED,PROXIMITY,2
225,MIXED,DEGREE,0
225,MIXED,PROTECTION,48
250,MIXED,PROXIMITY,0
250,MIXED,DEGREE,1
250,MIXED,PROTECTION,49
