NUMBER OF EDGES,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
25,RANDOM,PROXIMITY,50
25,RANDOM,DEGREE,50
25,RANDOM,PROTECTION,50
50,RANDOM,PROXIMITY,45
50,RANDOM,DEGREE,44
50,RANDOM,PROTECTION,43
75,RANDOM,PROXIMITY,41
75,RANDOM,DEGREE,12
75,RANDOM,PROTECTION,13
100,RANDOM,PROXIMITY,21
100,RANDOM,DEGREE,11
100,RANDOM,PROTECTION,28
125,RANDOM,PROXIMITY,10
125,RANDOM,DEGREE,0
125,RANDOM,PROTECTION,40
150,RANDOM,PROXIMITY,8
150,RANDOM,DEGREE,1
150,RANDOM,PROTECTION,43
175,RANDOM,PROXIMITY,7
175,RANDOM,DEGREE,0
175,RANDOM,PROTECTION,43
200,RANDOM,PROXIMITY,1
200,RANDOM,DEGREE,0
200,RANDOM,PROTECTION,49
225,RANDOM,PROXIMITY,1
225,RANDOM,DEGREE,0
225,RANDOM,PROTECTION,49
250,RANDOM,PROXIMITY,1
250,RANDOM,DEGREE,0
250,RANDOM,PROTECTION,49
