OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,77,0,1,0,49
0,DEGREE,67,0,12,0,38
0,PROTECTION,87,0,1,0,49
1,PROXIMITY,83,0,1,0,49
1,DEGREE,81,0,5,0,45
1,PROTECTION,87,0,1,0,49
2,PROXIMITY,81,0,1,0,49
2,DEGREE,79,0,3,0,47
2,PROTECTION,89,0,1,0,49
3,PROXIMITY,73,0,1,0,49
3,DEGREE,71,0,5,0,45
3,PROTECTION,87,0,1,0,49
4,PROXIMITY,83,0,1,0,49
4,DEGREE,75,0,9,0,41
4,PROTECTION,89,0,1,0,49
5,PROXIMITY,79,0,1,0,49
5,DEGREE,77,0,3,0,47
5,PROTECTION,87,0,1,0,49
6,PROXIMITY,79,0,1,0,49
6,DEGREE,73,0,8,0,42
6,PROTECTION,89,0,1,0,49
7,PROXIMITY,79,0,1,0,49
7,DEGREE,73,0,7,0,43
7,PROTECTION,89,0,1,0,49
8,PROXIMITY,79,0,1,0,49
8,DEGREE,75,0,5,0,45
8,PROTECTION,87,0,1,0,49
9,PROXIMITY,71,0,1,0,49
9,DEGREE,69,0,4,0,46
9,PROTECTION,83,0,1,0,49
10,PROXIMITY,85,0,1,0,49
10,DEGREE,81,0,5,0,45
10,PROTECTION,87,0,1,0,49
11,PROXIMITY,83,0,1,0,49
11,DEGREE,81,0,4,0,46
11,PROTECTION,87,0,1,0,49
12,PROXIMITY,79,0,1,0,49
12,DEGREE,73,0,9,0,41
12,PROTECTION,83,0,1,0,49
13,PROXIMITY,77,0,1,0,49
13,DEGREE,77,0,1,0,49
13,PROTECTION,91,0,1,0,49
14,PROXIMITY,73,0,1,0,49
14,DEGREE,71,0,3,0,47
14,PROTECTION,87,0,1,0,49
15,PROXIMITY,79,0,1,0,49
15,DEGREE,75,0,5,0,45
15,PROTECTION,87,0,1,0,49
16,PROXIMITY,77,0,1,0,49
16,DEGREE,77,0,4,0,46
16,PROTECTION,85,0,1,0,49
17,PROXIMITY,71,0,1,0,49
17,DEGREE,65,0,8,0,42
17,PROTECTION,79,0,1,0,49
18,PROXIMITY,83,0,1,0,49
18,DEGREE,75,0,9,0,41
18,PROTECTION,87,0,1,0,49
19,PROXIMITY,75,0,1,0,49
19,DEGREE,69,0,8,0,42
19,PROTECTION,85,0,1,0,49
20,PROXIMITY,81,0,1,0,49
20,DEGREE,77,0,7,0,43
20,PROTECTION,87,0,1,0,49
21,PROXIMITY,83,0,1,0,49
21,DEGREE,75,0,8,0,42
21,PROTECTION,89,0,1,0,49
22,PROXIMITY,73,0,1,0,49
22,DEGREE,73,0,5,0,45
22,PROTECTION,83,0,1,0,49
23,PROXIMITY,69,0,1,0,49
23,DEGREE,65,0,9,0,41
23,PROTECTION,81,0,1,0,49
24,PROXIMITY,79,0,1,0,49
24,DEGREE,77,0,5,0,45
24,PROTECTION,85,0,1,0,49
25,PROXIMITY,79,0,1,0,49
25,DEGREE,73,0,9,0,41
25,PROTECTION,91,0,1,0,49
26,PROXIMITY,77,0,1,0,49
26,DEGREE,67,0,12,0,38
26,PROTECTION,85,0,1,0,49
27,PROXIMITY,81,0,1,0,49
27,DEGREE,79,0,4,0,46
27,PROTECTION,87,0,1,0,49
28,PROXIMITY,79,0,1,0,49
28,DEGREE,77,0,3,0,47
28,PROTECTION,87,0,1,0,49
29,PROXIMITY,77,0,1,0,49
29,DEGREE,73,0,7,0,43
29,PROTECTION,85,0,1,0,49
30,PROXIMITY,73,0,1,0,49
30,DEGREE,71,0,7,0,43
30,PROTECTION,79,0,1,0,49
31,PROXIMITY,77,0,1,0,49
31,DEGREE,77,0,1,0,49
31,PROTECTION,91,0,1,0,49
32,PROXIMITY,67,0,1,0,49
32,DEGREE,55,0,15,0,35
32,PROTECTION,83,0,1,0,49
33,PROXIMITY,75,0,1,0,49
33,DEGREE,69,0,8,0,42
33,PROTECTION,83,0,1,0,49
34,PROXIMITY,81,0,1,0,49
34,DEGREE,79,0,4,0,46
34,PROTECTION,87,0,1,0,49
35,PROXIMITY,75,0,1,0,49
35,DEGREE,75,0,3,0,47
35,PROTECTION,87,0,1,0,49
36,PROXIMITY,79,0,1,0,49
36,DEGREE,73,0,8,0,42
36,PROTECTION,85,0,1,0,49
37,PROXIMITY,73,0,1,0,49
37,DEGREE,73,0,3,0,47
37,PROTECTION,81,0,1,0,49
38,PROXIMITY,81,0,1,0,49
38,DEGREE,73,0,9,0,41
38,PROTECTION,87,0,1,0,49
39,PROXIMITY,67,0,1,0,49
39,DEGREE,67,0,1,0,49
39,PROTECTION,83,0,1,0,49
40,PROXIMITY,77,0,1,0,49
40,DEGREE,75,0,5,0,45
40,PROTECTION,85,0,1,0,49
41,PROXIMITY,77,0,1,0,49
41,DEGREE,77,0,3,0,47
41,PROTECTION,89,0,1,0,49
42,PROXIMITY,73,0,1,0,49
42,DEGREE,71,0,4,0,46
42,PROTECTION,87,0,1,0,49
43,PROXIMITY,81,0,1,0,49
43,DEGREE,77,0,7,0,43
43,PROTECTION,87,0,1,0,49
44,PROXIMITY,79,0,1,0,49
44,DEGREE,73,0,8,0,42
44,PROTECTION,89,0,1,0,49
45,PROXIMITY,71,0,1,0,49
45,DEGREE,57,0,12,0,38
45,PROTECTION,85,0,1,0,49
46,PROXIMITY,69,0,1,0,49
46,DEGREE,69,0,3,0,47
46,PROTECTION,83,0,1,0,49
47,PROXIMITY,75,0,1,0,49
47,DEGREE,71,0,8,0,42
47,PROTECTION,89,0,1,0,49
48,PROXIMITY,77,0,1,0,49
48,DEGREE,75,0,4,0,46
48,PROTECTION,85,0,1,0,49
49,PROXIMITY,67,0,1,0,49
49,DEGREE,55,0,16,0,34
49,PROTECTION,81,0,1,0,49

