OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,73,0,1,0,49
0,DEGREE,71,0,5,0,45
0,PROTECTION,85,0,1,0,49
1,PROXIMITY,77,0,1,0,49
1,DEGREE,75,0,5,0,45
1,PROTECTION,87,0,1,0,49
2,PROXIMITY,73,0,1,0,49
2,DEGREE,73,0,2,0,48
2,PROTECTION,89,0,1,0,49
3,PROXIMITY,77,0,1,0,49
3,DEGREE,77,0,2,0,48
3,PROTECTION,85,0,1,0,49
4,PROXIMITY,75,0,1,0,49
4,DEGREE,75,0,3,0,47
4,PROTECTION,79,0,1,0,49
5,PROXIMITY,73,0,1,0,49
5,DEGREE,73,0,3,0,47
5,PROTECTION,89,0,1,0,49
6,PROXIMITY,75,0,1,0,49
6,DEGREE,73,0,5,0,45
6,PROTECTION,87,0,1,0,49
7,PROXIMITY,77,0,1,0,49
7,DEGREE,69,0,10,0,40
7,PROTECTION,85,0,1,0,49
8,PROXIMITY,79,0,1,0,49
8,DEGREE,79,0,3,0,47
8,PROTECTION,87,0,1,0,49
9,PROXIMITY,81,0,1,0,49
9,DEGREE,77,0,6,0,44
9,PROTECTION,87,0,1,0,49
10,PROXIMITY,83,0,1,0,49
10,DEGREE,79,0,5,0,45
10,PROTECTION,87,0,1,0,49
11,PROXIMITY,77,0,1,0,49
11,DEGREE,67,0,10,0,40
11,PROTECTION,87,0,1,0,49
12,PROXIMITY,69,0,1,0,49
12,DEGREE,59,0,13,0,37
12,PROTECTION,83,0,1,0,49
13,PROXIMITY,75,0,1,0,49
13,DEGREE,67,0,10,0,40
13,PROTECTION,87,0,1,0,49
14,PROXIMITY,71,0,1,0,49
14,DEGREE,65,0,10,0,40
14,PROTECTION,85,0,1,0,49
15,PROXIMITY,77,0,1,0,49
15,DEGREE,77,0,2,0,48
15,PROTECTION,85,0,1,0,49
16,PROXIMITY,81,0,1,0,49
16,DEGREE,81,0,2,0,48
16,PROTECTION,83,0,1,0,49
17,PROXIMITY,79,0,1,0,49
17,DEGREE,71,0,10,0,40
17,PROTECTION,87,0,1,0,49
18,PROXIMITY,81,0,1,0,49
18,DEGREE,79,0,3,0,47
18,PROTECTION,87,0,1,0,49
19,PROXIMITY,73,0,1,0,49
19,DEGREE,73,0,1,0,49
19,PROTECTION,89,0,1,0,49
20,PROXIMITY,71,0,1,0,49
20,DEGREE,61,0,15,0,35
20,PROTECTION,83,0,1,0,49
21,PROXIMITY,75,0,1,0,49
21,DEGREE,69,0,6,0,44
21,PROTECTION,87,0,1,0,49
22,PROXIMITY,79,0,1,0,49
22,DEGREE,79,0,2,0,48
22,PROTECTION,85,0,1,0,49
23,PROXIMITY,81,0,1,0,49
23,DEGREE,79,0,3,0,47
23,PROTECTION,87,0,1,0,49
24,PROXIMITY,75,0,1,0,49
24,DEGREE,73,0,6,0,44
24,PROTECTION,81,0,1,0,49
25,PROXIMITY,81,0,1,0,49
25,DEGREE,71,0,10,0,40
25,PROTECTION,87,0,1,0,49
26,PROXIMITY,67,0,1,0,49
26,DEGREE,65,0,5,0,45
26,PROTECTION,83,0,1,0,49
27,PROXIMITY,69,0,1,0,49
27,DEGREE,61,0,10,0,40
27,PROTECTION,85,0,1,0,49
28,PROXIMITY,79,0,1,0,49
28,DEGREE,77,0,6,0,44
28,PROTECTION,89,0,1,0,49
29,PROXIMITY,77,0,1,0,49
