OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,11,0,1,0,49
0,DEGREE,9,0,4,0,46
0,PROTECTION,9,0,3,0,47
1,PROXIMITY,7,0,1,0,49
1,DEGREE,7,0,2,0,48
1,PROTECTION,5,0,3,0,47
2,PROXIMITY,7,0,1,0,49
2,DEGREE,5,0,2,0,48
2,PROTECTION,5,0,2,0,48
3,PROXIMITY,17,0,2,0,48
3,DEGREE,15,0,3,0,47
3,PROTECTION,15,0,3,0,47
4,PROXIMITY,5,0,1,0,49
4,DEGREE,5,0,1,0,49
4,PROTECTION,5,0,1,0,49
5,PROXIMITY,9,0,1,0,49
5,DEGREE,9,0,1,0,49
5,PROTECTION,7,0,3,0,47
6,PROXIMITY,5,0,1,0,49
6,DEGREE,5,0,1,0,49
6,PROTECTION,5,0,1,0,49
7,PROXIMITY,9,0,1,0,49
7,DEGREE,9,0,1,0,49
7,PROTECTION,9,0,1,0,49
8,PROXIMITY,7,0,1,0,49
8,DEGREE,7,0,1,0,49
8,PROTECTION,5,0,2,0,48
9,PROXIMITY,15,0,4,0,46
9,DEGREE,15,0,4,0,46
9,PROTECTION,11,0,6,0,44
10,PROXIMITY,3,0,1,0,49
10,DEGREE,3,0,2,0,48
10,PROTECTION,3,0,1,0,49
11,PROXIMITY,7,0,1,0,49
11,DEGREE,7,0,2,0,48
11,PROTECTION,5,0,2,0,48
12,PROXIMITY,11,0,3,0,47
12,DEGREE,9,0,3,0,47
12,PROTECTION,9,0,2,0,48
13,PROXIMITY,11,0,1,0,49
13,DEGREE,11,0,1,0,49
13,PROTECTION,9,0,2,0,48
14,PROXIMITY,11,0,3,0,47
14,DEGREE,9,0,3,0,47
14,PROTECTION,7,0,5,0,45
15,PROXIMITY,7,0,1,0,49
15,DEGREE,7,0,1,0,49
15,PROTECTION,7,0,1,0,49
16,PROXIMITY,11,0,2,0,48
16,DEGREE,9,0,4,0,46
16,PROTECTION,11,0,2,0,48
17,PROXIMITY,13,0,2,0,48
17,DEGREE,9,0,6,0,44
17,PROTECTION,11,0,2,0,48
18,PROXIMITY,7,0,2,0,48
18,DEGREE,7,0,2,0,48
18,PROTECTION,5,0,3,0,47
19,PROXIMITY,15,0,3,0,47
19,DEGREE,13,0,4,0,46
19,PROTECTION,11,0,5,0,45
20,PROXIMITY,7,0,1,0,49
20,DEGREE,7,0,1,0,49
20,PROTECTION,5,0,2,0,48
21,PROXIMITY,11,0,1,0,49
21,DEGREE,9,0,2,0,48
21,PROTECTION,9,0,2,0,48
22,PROXIMITY,11,0,2,0,48
22,DEGREE,9,0,4,0,46
22,PROTECTION,9,0,3,0,47
23,PROXIMITY,15,0,6,0,44
23,DEGREE,15,0,4,0,46
23,PROTECTION,11,0,7,0,43
24,PROXIMITY,9,0,1,0,49
24,DEGREE,7,0,3,0,47
24,PROTECTION,7,0,2,0,48
25,PROXIMITY,11,0,3,0,47
25,DEGREE,9,0,3,0,47
25,PROTECTION,7,0,3,0,47
26,PROXIMITY,13,0,1,0,49
26,DEGREE,13,0,2,0,48
26,PROTECTION,11,0,2,0,48
27,PROXIMITY,15,0,1,0,49
27,DEGREE,11,0,4,0,46
27,PROTECTION,11,0,3,0,47
28,PROXIMITY,15,0,1,0,49
28,DEGREE,11,0,3,0,47
28,PROTECTION,11,0,3,0,47
29,PROXIMITY,11,0,2,0,48
29,DEGREE,9,0,3,0,47
29,PROTECTION,9,0,3,0,47
30,PROXIMITY,9,0,2,0,48
30,DEGREE,9,0,2,0,48
30,PROTECTION,7,0,3,0,47
31,PROXIMITY,7,0,1,0,49
31,DEGREE,7,0,1,0,49
31,PROTECTION,7,0,2,0,48
32,PROXIMITY,15,0,3,0,47
32,DEGREE,13,0,5,0,45
32,PROTECTION,13,0,3,0,47
33,PROXIMITY,7,0,1,0,49
33,DEGREE,7,0,3,0,47
33,PROTECTION,7,0,3,0,47
34,PROXIMITY,9,0,1,0,49
34,DEGREE,9,0,1,0,49
34,PROTECTION,9,0,2,0,48
35,PROXIMITY,21,0,1,0,49
35,DEGREE,19,0,3,0,47
35,PROTECTION,15,0,5,0,45
36,PROXIMITY,11,0,1,0,49
36,DEGREE,9,0,2,0,48
36,PROTECTION,11,0,1,0,49
37,PROXIMITY,5,0,3,0,47
37,DEGREE,5,0,3,0,47
37,PROTECTION,3,0,4,0,46
38,PROXIMITY,9,0,1,0,49
38,DEGREE,9,0,1,0,49
38,PROTECTION,7,0,2,0,48
39,PROXIMITY,11,0,8,0,42
39,DEGREE,11,0,8,0,42
39,PROTECTION,11,0,5,0,45
40,PROXIMITY,11,0,1,0,49
40,DEGREE,11,0,2,0,48
40,PROTECTION,9,0,3,0,47
41,PROXIMITY,11,0,1,0,49
41,DEGREE,9,0,3,0,47
41,PROTECTION,9,0,2,0,48
42,PROXIMITY,7,0,1,0,49
42,DEGREE,7,0,1,0,49
42,PROTECTION,5,0,2,0,48
43,PROXIMITY,7,0,1,0,49
43,DEGREE,7,0,1,0,49
43,PROTECTION,7,0,2,0,48
44,PROXIMITY,5,0,2,0,48
44,DEGREE,5,0,3,0,47
44,PROTECTION,3,0,3,0,47
45,PROXIMITY,13,0,1,0,49
45,DEGREE,13,0,2,0,48
45,PROTECTION,9,0,4,0,46
46,PROXIMITY,17,0,1,0,49
46,DEGREE,15,0,3,0,47
46,PROTECTION,13,0,5,0,45
47,PROXIMITY,11,0,2,0,48
47,DEGREE,11,0,3,0,47
47,PROTECTION,9,0,3,0,47
48,PROXIMITY,7,0,1,0,49
48,DEGREE,7,0,1,0,49
48,PROTECTION,7,0,1,0,49
49,PROXIMITY,13,0,5,0,45
49,DEGREE,13,0,5,0,45
49,PROTECTION,11,0,6,0,44

