OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,13,0,4,0,46
0,DEGREE,13,0,5,0,45
0,PROTECTION,13,0,4,0,46
1,PROXIMITY,7,0,2,0,48
1,DEGREE,7,0,2,0,48
1,PROTECTION,7,0,2,0,48
2,PROXIMITY,5,0,1,0,49
2,DEGREE,5,0,1,0,49
2,PROTECTION,5,0,1,0,49
3,PROXIMITY,11,0,1,0,49
3,DEGREE,11,0,2,0,48
3,PROTECTION,9,0,3,0,47
4,PROXIMITY,9,0,2,0,48
4,DEGREE,9,0,3,0,47
4,PROTECTION,9,0,3,0,47
5,PROXIMITY,9,0,1,0,49
5,DEGREE,9,0,1,0,49
5,PROTECTION,9,0,1,0,49
6,PROXIMITY,13,0,1,0,49
6,DEGREE,13,0,1,0,49
6,PROTECTION,13,0,1,0,49
7,PROXIMITY,15,0,1,0,49
7,DEGREE,15,0,1,0,49
7,PROTECTION,13,0,4,0,46
8,PROXIMITY,15,0,4,0,46
8,DEGREE,11,0,6,0,44
8,PROTECTION,11,0,6,0,44
9,PROXIMITY,7,0,1,0,49
9,DEGREE,7,0,1,0,49
9,PROTECTION,7,0,1,0,49
10,PROXIMITY,3,0,1,0,49
10,DEGREE,3,0,1,0,49
10,PROTECTION,3,0,1,0,49
11,PROXIMITY,7,0,3,0,47
11,DEGREE,7,0,4,0,46
11,PROTECTION,7,0,3,0,47
12,PROXIMITY,9,0,1,0,49
12,DEGREE,7,0,3,0,47
12,PROTECTION,7,0,3,0,47
13,PROXIMITY,7,0,2,0,48
13,DEGREE,7,0,3,0,47
13,PROTECTION,5,0,3,0,47
14,PROXIMITY,13,0,2,0,48
14,DEGREE,13,0,2,0,48
14,PROTECTION,11,0,3,0,47
15,PROXIMITY,9,0,3,0,47
15,DEGREE,9,0,3,0,47
15,PROTECTION,7,0,3,0,47
16,PROXIMITY,7,0,1,0,49
16,DEGREE,7,0,1,0,49
16,PROTECTION,5,0,2,0,48
17,PROXIMITY,9,0,1,0,49
17,DEGREE,9,0,1,0,49
17,PROTECTION,9,0,1,0,49
18,PROXIMITY,7,0,1,0,49
18,DEGREE,7,0,4,0,46
18,PROTECTION,5,0,2,0,48
19,PROXIMITY,7,0,2,0,48
19,DEGREE,7,0,2,0,48
19,PROTECTION,5,0,3,0,47
20,PROXIMITY,11,0,1,0,49
20,DEGREE,11,0,1,0,49
20,PROTECTION,9,0,2,0,48
21,PROXIMITY,9,0,1,0,49
21,DEGREE,7,0,2,0,48
21,PROTECTION,7,0,2,0,48
22,PROXIMITY,5,0,1,0,49
22,DEGREE,5,0,1,0,49
22,PROTECTION,4,0,3,0,47
23,PROXIMITY,5,0,4,0,46
23,DEGREE,5,0,4,0,46
23,PROTECTION,4,0,5,0,45
24,PROXIMITY,13,0,1,0,49
24,DEGREE,13,0,1,0,49
24,PROTECTION,11,0,3,0,47
25,PROXIMITY,3,0,3,0,47
25,DEGREE,3,0,3,0,47
25,PROTECTION,2,0,3,0,47
26,PROXIMITY,5,0,1,0,49
26,DEGREE,5,0,1,0,49
26,PROTECTION,5,0,1,0,49
27,PROXIMITY,7,0,4,0,46
27,DEGREE,7,0,4,0,46
27,PROTECTION,4,0,6,0,44
28,PROXIMITY,7,0,1,0,49
28,DEGREE,7,0,2,0,48
28,PROTECTION,7,0,2,0,48
29,PROXIMITY,5,0,1,0,49
29,DEGREE,5,0,1,0,49
29,PROTECTION,5,0,1,0,49
30,PROXIMITY,9,0,1,0,49
30,DEGREE,7,0,2,0,48
30,PROTECTION,9,0,2,0,48
31,PROXIMITY,9,0,1,0,49
31,DEGREE,9,0,1,0,49
31,PROTECTION,7,0,2,0,48
32,PROXIMITY,11,0,4,0,46
32,DEGREE,9,0,5,0,45
32,PROTECTION,7,0,5,0,45
33,PROXIMITY,3,0,1,0,49
33,DEGREE,3,0,2,0,48
33,PROTECTION,3,0,1,0,49
34,PROXIMITY,9,0,1,0,49
34,DEGREE,9,0,3,0,47
34,PROTECTION,7,0,2,0,48
35,PROXIMITY,15,0,2,0,48
35,DEGREE,13,0,3,0,47
35,PROTECTION,13,0,3,0,47
36,PROXIMITY,5,0,1,0,49
36,DEGREE,5,0,1,0,49
36,PROTECTION,5,0,1,0,49
37,PROXIMITY,13,0,2,0,48
37,DEGREE,11,0,3,0,47
37,PROTECTION,11,0,3,0,47
38,PROXIMITY,13,0,2,0,48
38,DEGREE,11,0,2,0,48
38,PROTECTION,11,0,2,0,48
39,PROXIMITY,7,0,3,0,47
39,DEGREE,7,0,3,0,47
39,PROTECTION,5,0,4,0,46
40,PROXIMITY,11,0,2,0,48
40,DEGREE,9,0,2,0,48
40,PROTECTION,9,0,3,0,47
41,PROXIMITY,9,0,3,0,47
41,DEGREE,5,0,5,0,45
41,PROTECTION,7,0,3,0,47
42,PROXIMITY,13,0,2,0,48
42,DEGREE,9,0,6,0,44
42,PROTECTION,11,0,5,0,45
43,PROXIMITY,9,0,3,0,47
43,DEGREE,7,0,4,0,46
43,PROTECTION,9,0,3,0,47
44,PROXIMITY,1,0,1,0,49
44,DEGREE,1,0,1,0,49
44,PROTECTION,1,0,1,0,49
45,PROXIMITY,7,0,1,0,49
45,DEGREE,7,0,1,0,49
45,PROTECTION,7,0,1,0,49
46,PROXIMITY,1,0,1,0,49
46,DEGREE,1,0,1,0,49
46,PROTECTION,1,0,1,0,49
47,PROXIMITY,11,0,1,0,49
47,DEGREE,11,0,3,0,47
47,PROTECTION,11,0,1,0,49
48,PROXIMITY,11,0,1,0,49
48,DEGREE,11,0,1,0,49
48,PROTECTION,5,0,4,0,46
49,PROXIMITY,7,0,1,0,49
49,DEGREE,5,0,3,0,47
49,PROTECTION,7,0,2,0,48

