OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,49,0,2,0,48
0,DEGREE,45,0,5,0,45
0,PROTECTION,45,0,4,0,46
1,PROXIMITY,43,0,1,0,49
1,DEGREE,41,0,3,0,47
1,PROTECTION,33,0,11,0,39
2,PROXIMITY,45,0,1,0,49
2,DEGREE,43,0,3,0,47
2,PROTECTION,31,0,10,0,40
3,PROXIMITY,49,0,5,0,45
3,DEGREE,47,0,5,0,45
3,PROTECTION,27,0,19,0,31
4,PROXIMITY,45,0,1,0,49
4,DEGREE,41,0,5,0,45
4,PROTECTION,41,0,4,0,46
5,PROXIMITY,45,0,1,0,49
5,DEGREE,45,0,3,0,47
5,PROTECTION,45,0,1,0,49
6,PROXIMITY,49,0,1,0,49
6,DEGREE,47,0,4,0,46
6,PROTECTION,49,0,2,0,48
7,PROXIMITY,47,0,1,0,49
7,DEGREE,47,0,1,0,49
7,PROTECTION,43,0,4,0,46
8,PROXIMITY,53,0,1,0,49
8,DEGREE,49,0,5,0,45
8,PROTECTION,39,0,13,0,37
9,PROXIMITY,47,0,4,0,46
9,DEGREE,45,0,4,0,46
9,PROTECTION,31,0,14,0,36
10,PROXIMITY,45,0,1,0,49
10,DEGREE,45,0,2,0,48
10,PROTECTION,35,0,9,0,41
11,PROXIMITY,41,0,1,0,49
11,DEGREE,41,0,3,0,47
11,PROTECTION,41,0,1,0,49
12,PROXIMITY,49,0,3,0,47
12,DEGREE,45,0,5,0,45
12,PROTECTION,45,0,5,0,45
13,PROXIMITY,47,0,1,0,49
13,DEGREE,47,0,1,0,49
13,PROTECTION,31,0,13,0,37
14,PROXIMITY,47,0,3,0,47
14,DEGREE,45,0,3,0,47
14,PROTECTION,43,0,4,0,46
15,PROXIMITY,49,0,1,0,49
15,DEGREE,43,0,5,0,45
15,PROTECTION,45,0,3,0,47
16,PROXIMITY,53,0,2,0,48
16,DEGREE,51,0,4,0,46
16,PROTECTION,45,0,9,0,41
17,PROXIMITY,55,0,4,0,46
17,DEGREE,51,0,8,0,42
17,PROTECTION,37,0,17,0,33
18,PROXIMITY,45,0,2,0,48
18,DEGREE,43,0,5,0,45
18,PROTECTION,43,0,4,0,46
19,PROXIMITY,49,0,3,0,47
19,DEGREE,43,0,8,0,42
19,PROTECTION,37,0,11,0,39
20,PROXIMITY,49,0,1,0,49
20,DEGREE,45,0,5,0,45
20,PROTECTION,47,0,3,0,47
21,PROXIMITY,43,0,1,0,49
21,DEGREE,43,0,2,0,48
21,PROTECTION,43,0,2,0,48
22,PROXIMITY,51,0,3,0,47
22,DEGREE,49,0,5,0,45
22,PROTECTION,45,0,8,0,42
23,PROXIMITY,29,0,22,0,28
23,DEGREE,41,0,9,0,41
23,PROTECTION,27,0,19,0,31
24,PROXIMITY,47,0,1,0,49
24,DEGREE,45,0,5,0,45
24,PROTECTION,43,0,5,0,45
25,PROXIMITY,47,0,3,0,47
25,DEGREE,41,0,9,0,41
25,PROTECTION,43,0,6,0,44
26,PROXIMITY,45,0,1,0,49
26,DEGREE,39,0,8,0,42
26,PROTECTION,31,0,12,0,38
27,PROXIMITY,47,0,1,0,49
27,DEGREE,43,0,4,0,46
27,PROTECTION,35,0,10,0,40
28,PROXIMITY,53,0,1,0,49
28,DEGREE,51,0,3,0,47
28,PROTECTION,31,0,17,0,33
29,PROXIMITY,43,0,2,0,48
29,DEGREE,41,0,5,0,45
29,PROTECTION,33,0,11,0,39
30,PROXIMITY,49,0,5,0,45
30,DEGREE,45,0,7,0,43
30,PROTECTION,41,0,8,0,42
31,PROXIMITY,57,0,1,0,49
31,DEGREE,57,0,1,0,49
31,PROTECTION,45,0,10,0,40
32,PROXIMITY,19,0,35,0,15
32,DEGREE,37,0,19,0,31
32,PROTECTION,29,0,19,0,31
33,PROXIMITY,47,0,4,0,46
33,DEGREE,41,0,8,0,42
33,PROTECTION,41,0,8,0,42
34,PROXIMITY,49,0,1,0,49
34,DEGREE,47,0,4,0,46
34,PROTECTION,49,0,1,0,49
35,PROXIMITY,53,0,1,0,49
35,DEGREE,53,0,2,0,48
35,PROTECTION,51,0,3,0,47
36,PROXIMITY,57,0,1,0,49
36,DEGREE,49,0,8,0,42
36,PROTECTION,55,0,2,0,48
37,PROXIMITY,45,0,1,0,49
37,DEGREE,43,0,3,0,47
37,PROTECTION,27,0,14,0,36
38,PROXIMITY,55,0,1,0,49
38,DEGREE,51,0,5,0,45
38,PROTECTION,51,0,3,0,47
39,PROXIMITY,53,0,3,0,47
39,DEGREE,53,0,3,0,47
39,PROTECTION,51,0,5,0,45
40,PROXIMITY,49,0,1,0,49
40,DEGREE,45,0,5,0,45
40,PROTECTION,47,0,3,0,47
41,PROXIMITY,49,0,2,0,48
41,DEGREE,47,0,3,0,47
41,PROTECTION,47,0,3,0,47
42,PROXIMITY,49,0,4,0,46
42,DEGREE,47,0,4,0,46
42,PROTECTION,29,0,17,0,33
43,PROXIMITY,51,0,1,0,49
43,DEGREE,47,0,5,0,45
43,PROTECTION,49,0,3,0,47
44,PROXIMITY,49,0,1,0,49
44,DEGREE,47,0,3,0,47
44,PROTECTION,47,0,2,0,48
45,PROXIMITY,47,0,1,0,49
45,DEGREE,39,0,12,0,38
45,PROTECTION,29,0,14,0,36
46,PROXIMITY,43,0,1,0,49
46,DEGREE,41,0,2,0,48
46,PROTECTION,41,0,3,0,47
47,PROXIMITY,47,0,1,0,49
47,DEGREE,43,0,5,0,45
47,PROTECTION,31,0,12,0,38
48,PROXIMITY,45,0,1,0,49
48,DEGREE,41,0,4,0,46
48,PROTECTION,45,0,1,0,49
49,PROXIMITY,49,0,2,0,48
49,DEGREE,45,0,8,0,42
49,PROTECTION,45,0,5,0,45

