OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,51,0,2,0,48
0,DEGREE,47,0,5,0,45
0,PROTECTION,47,0,5,0,45
1,PROXIMITY,47,0,1,0,49
1,DEGREE,45,0,4,0,46
1,PROTECTION,39,0,8,0,42
2,PROXIMITY,55,0,1,0,49
2,DEGREE,51,0,7,0,43
2,PROTECTION,53,0,2,0,48
3,PROXIMITY,43,0,1,0,49
3,DEGREE,41,0,3,0,47
3,PROTECTION,39,0,5,0,45
4,PROXIMITY,53,0,1,0,49
4,DEGREE,51,0,2,0,48
4,PROTECTION,41,0,9,0,41
5,PROXIMITY,47,0,1,0,49
5,DEGREE,47,0,3,0,47
5,PROTECTION,37,0,9,0,41
6,PROXIMITY,45,0,3,0,47
6,DEGREE,41,0,4,0,46
6,PROTECTION,41,0,4,0,46
7,PROXIMITY,49,0,1,0,49
7,DEGREE,47,0,3,0,47
7,PROTECTION,49,0,1,0,49
8,PROXIMITY,47,0,2,0,48
8,DEGREE,45,0,3,0,47
8,PROTECTION,39,0,8,0,42
9,PROXIMITY,51,0,1,0,49
9,DEGREE,49,0,2,0,48
9,PROTECTION,49,0,2,0,48
10,PROXIMITY,53,0,1,0,49
10,DEGREE,53,0,2,0,48
10,PROTECTION,37,0,13,0,37
11,PROXIMITY,51,0,2,0,48
11,DEGREE,43,0,9,0,41
11,PROTECTION,43,0,8,0,42
12,PROXIMITY,49,0,1,0,49
12,DEGREE,47,0,2,0,48
12,PROTECTION,47,0,2,0,48
13,PROXIMITY,45,0,2,0,48
13,DEGREE,41,0,6,0,44
13,PROTECTION,33,0,11,0,39
14,PROXIMITY,53,0,2,0,48
14,DEGREE,51,0,3,0,47
14,PROTECTION,51,0,3,0,47
15,PROXIMITY,53,0,1,0,49
15,DEGREE,53,0,1,0,49
15,PROTECTION,49,0,6,0,44
16,PROXIMITY,49,0,1,0,49
16,DEGREE,47,0,2,0,48
16,PROTECTION,47,0,2,0,48
17,PROXIMITY,49,0,1,0,49
17,DEGREE,47,0,2,0,48
17,PROTECTION,45,0,5,0,45
18,PROXIMITY,43,0,2,0,48
18,DEGREE,39,0,5,0,45
18,PROTECTION,39,0,4,0,46
19,PROXIMITY,51,0,1,0,49
19,DEGREE,41,0,9,0,41
19,PROTECTION,35,0,12,0,38
20,PROXIMITY,53,0,4,0,46
20,DEGREE,53,0,4,0,46
20,PROTECTION,49,0,5,0,45
21,PROXIMITY,51,0,1,0,49
21,DEGREE,49,0,3,0,47
21,PROTECTION,43,0,7,0,43
22,PROXIMITY,43,0,5,0,45
22,DEGREE,41,0,7,0,43
22,PROTECTION,37,0,10,0,40
23,PROXIMITY,53,0,2,0,48
23,DEGREE,51,0,5,0,45
23,PROTECTION,35,0,13,0,37
24,PROXIMITY,43,0,1,0,49
24,DEGREE,43,0,2,0,48
24,PROTECTION,43,0,1,0,49
25,PROXIMITY,39,0,12,0,38
25,DEGREE,37,0,10,0,40
25,PROTECTION,39,0,6,0,44
26,PROXIMITY,51,0,1,0,49
26,DEGREE,45,0,5,0,45
26,PROTECTION,39,0,10,0,40
27,PROXIMITY,51,0,1,0,49
27,DEGREE,51,0,2,0,48
27,PROTECTION,39,0,11,0,39
28,PROXIMITY,45,0,5,0,45
28,DEGREE,43,0,9,0,41
28,PROTECTION,41,0,6,0,44
29,PROXIMITY,47,0,3,0,47
29,DEGREE,41,0,10,0,40
29,PROTECTION,41,0,7,0,43
