OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,51,0,1,0,49
0,DEGREE,47,0,5,0,45
0,PROTECTION,43,0,7,0,43
1,PROXIMITY,49,0,7,0,43
1,DEGREE,39,0,13,0,37
1,PROTECTION,45,0,7,0,43
2,PROXIMITY,47,0,1,0,49
2,DEGREE,43,0,5,0,45
2,PROTECTION,35,0,12,0,38
3,PROXIMITY,33,0,13,0,37
3,DEGREE,43,0,3,0,47
3,PROTECTION,37,0,8,0,42
4,PROXIMITY,45,0,2,0,48
4,DEGREE,43,0,6,0,44
4,PROTECTION,43,0,4,0,46
5,PROXIMITY,49,0,1,0,49
5,DEGREE,49,0,5,0,45
5,PROTECTION,49,0,2,0,48
6,PROXIMITY,45,0,4,0,46
6,DEGREE,41,0,7,0,43
6,PROTECTION,41,0,6,0,44
7,PROXIMITY,51,0,1,0,49
7,DEGREE,51,0,1,0,49
7,PROTECTION,39,0,11,0,39
8,PROXIMITY,45,0,1,0,49
8,DEGREE,37,0,13,0,37
8,PROTECTION,33,0,10,0,40
9,PROXIMITY,49,0,3,0,47
9,DEGREE,41,0,8,0,42
9,PROTECTION,43,0,6,0,44
10,PROXIMITY,47,0,2,0,48
10,DEGREE,43,0,6,0,44
10,PROTECTION,43,0,5,0,45
11,PROXIMITY,51,0,5,0,45
11,DEGREE,51,0,3,0,47
11,PROTECTION,43,0,9,0,41
12,PROXIMITY,45,0,1,0,49
12,DEGREE,41,0,6,0,44
12,PROTECTION,45,0,2,0,48
13,PROXIMITY,51,0,1,0,49
13,DEGREE,45,0,7,0,43
13,PROTECTION,47,0,4,0,46
14,PROXIMITY,41,0,1,0,49
14,DEGREE,39,0,4,0,46
14,PROTECTION,41,0,1,0,49
15,PROXIMITY,27,0,26,0,24
15,DEGREE,35,0,17,0,33
15,PROTECTION,41,0,8,0,42
16,PROXIMITY,45,0,2,0,48
16,DEGREE,37,0,11,0,39
16,PROTECTION,43,0,4,0,46
17,PROXIMITY,49,0,1,0,49
17,DEGREE,45,0,5,0,45
17,PROTECTION,39,0,8,0,42
18,PROXIMITY,47,0,3,0,47
18,DEGREE,41,0,7,0,43
18,PROTECTION,41,0,6,0,44
19,PROXIMITY,53,0,1,0,49
19,DEGREE,47,0,8,0,42
19,PROTECTION,41,0,10,0,40
20,PROXIMITY,49,0,1,0,49
20,DEGREE,49,0,1,0,49
20,PROTECTION,45,0,4,0,46
21,PROXIMITY,49,0,1,0,49
21,DEGREE,45,0,8,0,42
21,PROTECTION,49,0,1,0,49
22,PROXIMITY,53,0,1,0,49
22,DEGREE,53,0,1,0,49
22,PROTECTION,45,0,7,0,43
23,PROXIMITY,49,0,1,0,49
23,DEGREE,39,0,8,0,42
23,PROTECTION,33,0,12,0,38
24,PROXIMITY,43,0,2,0,48
24,DEGREE,41,0,4,0,46
24,PROTECTION,37,0,7,0,43
25,PROXIMITY,45,0,2,0,48
25,DEGREE,41,0,5,0,45
25,PROTECTION,37,0,7,0,43
26,PROXIMITY,47,0,2,0,48
26,DEGREE,45,0,3,0,47
26,PROTECTION,45,0,3,0,47
27,PROXIMITY,47,0,3,0,47
27,DEGREE,35,0,13,0,37
27,PROTECTION,39,0,8,0,42
28,PROXIMITY,49,0,3,0,47
28,DEGREE,45,0,5,0,45
28,PROTECTION,45,0,5,0,45
29,PROXIMITY,45,0,1,0,49
29,DEGREE,45,0,2,0,48
29,PROTECTION,45,0,1,0,49
30,PROXIMITY,47,0,1,0,49
30,DEGREE,41,0,5,0,45
30,PROTECTION,29,0,15,0,35
31,PROXIMITY,35,0,22,0,28
31,DEGREE,47,0,8,0,42
31,PROTECTION,45,0,11,0,39
32,PROXIMITY,51,0,1,0,49
32,DEGREE,51,0,1,0,49
32,PROTECTION,47,0,4,0,46
33,PROXIMITY,49,0,2,0,48
33,DEGREE,47,0,4,0,46
33,PROTECTION,47,0,4,0,46
34,PROXIMITY,49,0,1,0,49
34,DEGREE,49,0,3,0,47
34,PROTECTION,49,0,2,0,48
35,PROXIMITY,55,0,3,0,47
35,DEGREE,51,0,6,0,44
