OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,27,0,11,0,39
1,DEGREE,15,0,18,0,32
2,PROTECTION,11,0,18,0,32
3,PROTECTION,19,0,8,0,42
4,PROTECTION,13,0,12,0,38
5,PROTECTION,5,0,31,0,19
6,PROTECTION,5,0,17,0,33
7,PROTECTION,7,0,13,0,37
8,DEGREE,29,0,17,0,33
9,PROTECTION,7,0,18,0,32
10,PROTECTION,9,0,10,0,40
11,PROTECTION,9,0,16,0,34
12,PROXIMITY,19,0,12,0,38
13,DEGREE,17,0,16,0,34
14,PROXIMITY,17,0,15,0,35
15,PROXIMITY,23,0,7,0,43
16,PROTECTION,5,0,19,0,31
17,PROXIMITY,29,0,11,0,39
18,PROXIMITY,79,0,8,0,42
19,DEGREE,47,0,1,0,49
20,PROTECTION,9,0,17,0,33
21,DEGREE,19,0,6,0,44
22,PROTECTION,13,0,12,0,38
23,PROXIMITY,17,0,12,0,38
24,PROXIMITY,51,0,4,0,46
24,DEGREE,51,0,4,0,46
25,PROXIMITY,21,0,9,0,41
26,PROXIMITY,15,0,19,0,31
27,PROXIMITY,25,0,8,0,42
28,PROXIMITY,19,0,15,0,35
28,DEGREE,19,0,15,0,35
29,PROTECTION,11,0,12,0,38
30,PROXIMITY,37,0,9,0,41
31,PROXIMITY,29,0,6,0,44
32,PROXIMITY,17,0,6,0,44
33,PROTECTION,11,0,14,0,36
34,DEGREE,21,0,10,0,40
35,PROTECTION,7,0,11,0,39
36,DEGREE,59,0,5,0,45
37,PROTECTION,13,0,13,0,37
38,PROXIMITY,9,0,6,0,44
39,PROXIMITY,19,0,13,0,37
40,PROTECTION,11,0,12,0,38
41,PROTECTION,11,0,9,0,41
42,PROXIMITY,17,0,14,0,36
43,PROXIMITY,11,0,21,0,29
44,PROXIMITY,35,0,13,0,37
45,PROXIMITY,33,0,10,0,40
46,DEGREE,19,0,9,0,41
47,PROXIMITY,27,0,15,0,35
48,PROXIMITY,21,0,11,0,39
49,PROTECTION,7,0,16,0,34

