OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,14,0,33,0,17
0,DEGREE,13,0,36,0,14
0,PROTECTION,11,0,27,0,23
1,PROXIMITY,13,0,35,0,15
1,DEGREE,13,0,37,0,13
1,PROTECTION,7,0,32,0,18
2,PROXIMITY,13,0,33,0,17
2,DEGREE,13,0,35,0,15
2,PROTECTION,8,0,31,0,19
3,PROXIMITY,11,0,38,0,12
3,DEGREE,11,0,40,0,10
3,PROTECTION,9,0,29,0,21
4,PROXIMITY,13,0,36,0,14
4,DEGREE,13,0,38,0,12
4,PROTECTION,7,0,30,0,20
5,PROXIMITY,15,0,33,0,17
5,DEGREE,17,0,35,0,15
5,PROTECTION,10,0,30,0,20
6,PROXIMITY,141,0,1,0,49
6,DEGREE,13,0,36,0,14
6,PROTECTION,9,0,31,0,19
7,PROXIMITY,12,0,37,0,13
7,DEGREE,13,0,38,0,12
7,PROTECTION,9,0,32,0,18
8,PROXIMITY,11,0,38,0,12
8,DEGREE,10,0,39,0,11
8,PROTECTION,6,0,35,0,15
9,PROXIMITY,13,0,34,0,16
9,DEGREE,13,0,40,0,10
9,PROTECTION,8,0,30,0,20
10,PROXIMITY,13,0,30,0,20
10,DEGREE,13,0,30,0,20
10,PROTECTION,13,0,22,0,28
11,PROXIMITY,13,0,36,0,14
11,DEGREE,13,0,39,0,11
11,PROTECTION,7,0,34,0,16
12,PROXIMITY,13,0,35,0,15
12,DEGREE,15,0,37,0,13
12,PROTECTION,9,0,30,0,20
13,PROXIMITY,13,0,39,0,11
13,DEGREE,13,0,41,0,9
13,PROTECTION,9,0,31,0,19
14,PROXIMITY,9,0,38,0,12
14,DEGREE,13,0,39,0,11
14,PROTECTION,7,0,34,0,16
15,PROXIMITY,11,0,37,0,13
15,DEGREE,11,0,40,0,10
15,PROTECTION,8,0,36,0,14
16,PROXIMITY,14,0,35,0,15
16,DEGREE,13,0,37,0,13
16,PROTECTION,7,0,31,0,19
17,PROXIMITY,11,0,35,0,15
17,DEGREE,13,0,33,0,17
17,PROTECTION,10,0,26,0,24
18,PROXIMITY,13,0,39,0,11
18,DEGREE,10,0,41,0,9
18,PROTECTION,9,0,36,0,14
19,PROXIMITY,15,0,32,0,18
19,DEGREE,15,0,29,0,21
19,PROTECTION,11,0,28,0,22
20,PROXIMITY,11,0,36,0,14
20,DEGREE,13,0,35,0,15
20,PROTECTION,11,0,27,0,23
21,PROXIMITY,13,0,32,0,18
21,DEGREE,13,0,37,0,13
21,PROTECTION,8,0,32,0,18
22,PROXIMITY,13,0,33,0,17
22,DEGREE,15,0,35,0,15
22,PROTECTION,7,0,30,0,20
23,PROXIMITY,9,0,39,0,11
23,DEGREE,11,0,37,0,13
23,PROTECTION,8,0,30,0,20
24,PROXIMITY,23,0,25,0,25
24,DEGREE,15,0,32,0,18
24,PROTECTION,9,0,25,0,25
25,PROXIMITY,11,0,32,0,18
25,DEGREE,13,0,34,0,16
25,PROTECTION,8,0,30,0,20
26,PROXIMITY,13,0,34,0,16
26,DEGREE,13,0,34,0,16
26,PROTECTION,7,0,32,0,18
27,PROXIMITY,17,0,28,0,22
27,DEGREE,19,0,30,0,20
27,PROTECTION,7,0,29,0,21
28,PROXIMITY,15,0,31,0,19
28,DEGREE,13,0,40,0,10
28,PROTECTION,10,0,31,0,19
29,PROXIMITY,11,0,34,0,16
29,DEGREE,13,0,34,0,16
29,PROTECTION,10,0,29,0,21
30,PROXIMITY,10,0,41,0,9
30,DEGREE,11,0,39,0,11
30,PROTECTION,13,0,30,0,20
31,PROXIMITY,13,0,37,0,13
31,DEGREE,11,0,38,0,12
31,PROTECTION,10,0,31,0,19
32,PROXIMITY,13,0,33,0,17
32,DEGREE,13,0,38,0,12
32,PROTECTION,7,0,35,0,15
33,PROXIMITY,13,0,35,0,15
33,DEGREE,13,0,39,0,11
33,PROTECTION,11,0,30,0,20
34,PROXIMITY,15,0,32,0,18
34,DEGREE,15,0,35,0,15
34,PROTECTION,8,0,30,0,20
35,PROXIMITY,11,0,37,0,13
35,DEGREE,15,0,34,0,16
35,PROTECTION,11,0,29,0,21
36,PROXIMITY,7,0,36,0,14
36,DEGREE,7,0,39,0,11
36,PROTECTION,5,0,33,0,17
37,PROXIMITY,11,0,38,0,12
37,DEGREE,10,0,41,0,9
37,PROTECTION,10,0,32,0,18
38,PROXIMITY,17,0,33,0,17
38,DEGREE,9,0,41,0,9
38,PROTECTION,9,0,32,0,18
