PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,99
RANDOM,DEGREE,11
RANDOM,PROTECTION,390
MIXED,PROXIMITY,251
MIXED,DEGREE,85
MIXED,PROTECTION,169
DETERMINISTIC,PROXIMITY,26
DETERMINISTIC,DEGREE,1
DETERMINISTIC,PROTECTION,478
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,99
RANDOM,DEGREE,11
RANDOM,PROTECTION,390
MIXED,PROXIMITY,251
MIXED,DEGREE,85
MIXED,PROTECTION,169
DETERMINISTIC,PROXIMITY,26
DETERMINISTIC,DEGREE,1
DETERMINISTIC,PROTECTION,478
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,99
RANDOM,DEGREE,11
RANDOM,PROTECTION,390
MIXED,PROXIMITY,251
MIXED,DEGREE,85
MIXED,PROTECTION,169
DETERMINISTIC,PROXIMITY,26
DETERMINISTIC,DEGREE,1
DETERMINISTIC,PROTECTION,478
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,99
RANDOM,DEGREE,11
RANDOM,PROTECTION,390
MIXED,PROXIMITY,251
MIXED,DEGREE,85
MIXED,PROTECTION,169
DETERMINISTIC,PROXIMITY,26
DETERMINISTIC,DEGREE,1
DETERMINISTIC,PROTECTION,478
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,99
RANDOM,DEGREE,11
RANDOM,PROTECTION,390
MIXED,PROXIMITY,251
MIXED,DEGREE,85
MIXED,PROTECTION,169
DETERMINISTIC,PROXIMITY,26
DETERMINISTIC,DEGREE,1
DETERMINISTIC,PROTECTION,478
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,99
RANDOM,DEGREE,11
RANDOM,PROTECTION,390
MIXED,PROXIMITY,251
MIXED,DEGREE,85
MIXED,PROTECTION,169
DETERMINISTIC,PROXIMITY,26
DETERMINISTIC,DEGREE,1
DETERMINISTIC,PROTECTION,478
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,99
RANDOM,DEGREE,11
RANDOM,PROTECTION,390
MIXED,PROXIMITY,251
MIXED,DEGREE,85
MIXED,PROTECTION,169
DETERMINISTIC,PROXIMITY,26
DETERMINISTIC,DEGREE,1
DETERMINISTIC,PROTECTION,478
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,99
RANDOM,DEGREE,11
RANDOM,PROTECTION,390
MIXED,PROXIMITY,251
MIXED,DEGREE,85
MIXED,PROTECTION,169
DETERMINISTIC,PROXIMITY,26
DETERMINISTIC,DEGREE,1
DETERMINISTIC,PROTECTION,478
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,99
RANDOM,DEGREE,11
RANDOM,PROTECTION,390
MIXED,PROXIMITY,251
MIXED,DEGREE,85
MIXED,PROTECTION,169
DETERMINISTIC,PROXIMITY,26
DETERMINISTIC,DEGREE,1
DETERMINISTIC,PROTECTION,478
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,99
RANDOM,DEGREE,11
RANDOM,PROTECTION,390
MIXED,PROXIMITY,251
MIXED,DEGREE,85
MIXED,PROTECTION,169
DETERMINISTIC,PROXIMITY,26
DETERMINISTIC,DEGREE,1
DETERMINISTIC,PROTECTION,478
