OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,71,0,1,0,49
0,DEGREE,45,0,17,0,33
0,PROTECTION,79,0,1,0,49
1,PROXIMITY,75,0,1,0,49
1,DEGREE,35,0,19,0,31
1,PROTECTION,77,0,1,0,49
2,PROXIMITY,69,0,1,0,49
2,DEGREE,23,0,30,0,20
2,PROTECTION,77,0,1,0,49
3,PROXIMITY,75,0,1,0,49
3,DEGREE,27,0,24,0,26
3,PROTECTION,77,0,1,0,49
4,PROXIMITY,79,0,1,0,49
4,DEGREE,29,0,26,0,24
4,PROTECTION,81,0,1,0,49
5,PROXIMITY,85,0,1,0,49
5,DEGREE,83,0,1,0,49
5,PROTECTION,85,0,1,0,49
6,PROXIMITY,77,0,1,0,49
6,DEGREE,19,0,32,0,18
6,PROTECTION,81,0,1,0,49
7,PROXIMITY,81,0,1,0,49
7,DEGREE,27,0,23,0,27
7,PROTECTION,75,0,1,0,49
8,PROXIMITY,85,0,1,0,49
8,DEGREE,19,0,36,0,14
8,PROTECTION,83,0,1,0,49
9,PROXIMITY,81,0,1,0,49
9,DEGREE,25,0,29,0,21
9,PROTECTION,75,0,1,0,49
10,PROXIMITY,81,0,1,0,49
10,DEGREE,13,0,38,0,12
10,PROTECTION,85,0,1,0,49
11,PROXIMITY,65,0,1,0,49
11,DEGREE,13,0,35,0,15
11,PROTECTION,77,0,1,0,49
12,PROXIMITY,77,0,1,0,49
12,DEGREE,17,0,33,0,17
12,PROTECTION,81,0,1,0,49
13,PROXIMITY,91,0,1,0,49
13,DEGREE,17,0,36,0,14
13,PROTECTION,87,0,1,0,49
14,PROXIMITY,93,0,1,0,49
14,DEGREE,25,0,32,0,18
14,PROTECTION,89,0,1,0,49
15,PROXIMITY,89,0,1,0,49
15,DEGREE,15,0,36,0,14
15,PROTECTION,81,0,1,0,49
16,PROXIMITY,105,0,1,0,49
16,DEGREE,105,0,1,0,49
16,PROTECTION,91,0,1,0,49
17,PROXIMITY,81,0,1,0,49
17,DEGREE,17,0,33,0,17
17,PROTECTION,79,0,1,0,49
18,PROXIMITY,89,0,1,0,49
18,DEGREE,17,0,36,0,14
18,PROTECTION,83,0,1,0,49
19,PROXIMITY,95,0,1,0,49
19,DEGREE,17,0,39,0,11
19,PROTECTION,83,0,1,0,49
20,PROXIMITY,89,0,1,0,49
20,DEGREE,87,0,3,0,47
20,PROTECTION,83,0,1,0,49
21,PROXIMITY,97,0,1,0,49
21,DEGREE,19,0,35,0,15
21,PROTECTION,85,0,1,0,49
22,PROXIMITY,81,0,1,0,49
22,DEGREE,19,0,34,0,16
22,PROTECTION,81,0,1,0,49
23,PROXIMITY,83,0,1,0,49
23,DEGREE,17,0,33,0,17
23,PROTECTION,81,0,1,0,49
24,PROXIMITY,83,0,1,0,49
24,DEGREE,87,0,1,0,49
24,PROTECTION,85,0,1,0,49
25,PROXIMITY,93,0,1,0,49
25,DEGREE,31,0,26,0,24
25,PROTECTION,87,0,1,0,49
26,PROXIMITY,97,0,1,0,49
26,DEGREE,16,0,39,0,11
26,PROTECTION,85,0,1,0,49
27,PROXIMITY,89,0,1,0,49
27,DEGREE,21,0,31,0,19
27,PROTECTION,83,0,1,0,49
28,PROXIMITY,81,0,1,0,49
28,DEGREE,43,0,20,0,30
28,PROTECTION,83,0,1,0,49
29,PROXIMITY,75,0,1,0,49
29,DEGREE,25,0,27,0,23
29,PROTECTION,85,0,1,0,49
30,PROXIMITY,75,0,1,0,49
30,DEGREE,37,0,21,0,29
30,PROTECTION,85,0,1,0,49
31,PROXIMITY,99,0,1,0,49
31,DEGREE,45,0,24,0,26
31,PROTECTION,89,0,1,0,49
32,PROXIMITY,79,0,1,0,49
32,DEGREE,33,0,23,0,27
32,PROTECTION,85,0,1,0,49
33,PROXIMITY,93,0,1,0,49
33,DEGREE,83,0,1,0,49
33,PROTECTION,87,0,1,0,49
34,PROXIMITY,79,0,1,0,49
34,DEGREE,39,0,19,0,31
34,PROTECTION,83,0,1,0,49
35,PROXIMITY,91,0,1,0,49
35,DEGREE,39,0,24,0,26
35,PROTECTION,89,0,1,0,49
36,PROXIMITY,85,0,1,0,49
36,DEGREE,23,0,31,0,19
36,PROTECTION,85,0,1,0,49
37,PROXIMITY,87,0,1,0,49
37,DEGREE,17,0,40,0,10
37,PROTECTION,87,0,1,0,49
38,PROXIMITY,83,0,1,0,49
38,DEGREE,55,0,12,0,38
38,PROTECTION,83,0,1,0,49
39,PROXIMITY,89,0,1,0,49
39,DEGREE,15,0,38,0,12
39,PROTECTION,85,0,1,0,49
40,PROXIMITY,79,0,1,0,49
40,DEGREE,43,0,23,0,27
40,PROTECTION,83,0,1,0,49
41,PROXIMITY,99,0,1,0,49
41,DEGREE,23,0,32,0,18
41,PROTECTION,85,0,1,0,49
42,PROXIMITY,83,0,1,0,49
42,DEGREE,33,0,23,0,27
42,PROTECTION,85,0,1,0,49
43,PROXIMITY,81,0,1,0,49
43,DEGREE,13,0,39,0,11
43,PROTECTION,85,0,1,0,49
44,PROXIMITY,89,0,1,0,49
44,DEGREE,19,0,37,0,13
44,PROTECTION,89,0,1,0,49
45,PROXIMITY,89,0,1,0,49
45,DEGREE,31,0,28,0,22
45,PROTECTION,87,0,1,0,49
46,PROXIMITY,95,0,1,0,49
46,DEGREE,41,0,25,0,25
46,PROTECTION,87,0,1,0,49
