OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,17,0,10,0,40
0,DEGREE,11,0,12,0,38
0,PROTECTION,11,0,10,0,40
1,PROXIMITY,19,0,10,0,40
1,DEGREE,21,0,9,0,41
1,PROTECTION,11,0,12,0,38
2,PROXIMITY,13,0,9,0,41
2,DEGREE,13,0,9,0,41
2,PROTECTION,9,0,10,0,40
3,PROXIMITY,15,0,11,0,39
3,DEGREE,17,0,16,0,34
3,PROTECTION,9,0,14,0,36
4,PROXIMITY,27,0,3,0,47
4,DEGREE,17,0,9,0,41
4,PROTECTION,19,0,4,0,46
5,PROXIMITY,13,0,10,0,40
5,DEGREE,9,0,13,0,37
5,PROTECTION,13,0,10,0,40
6,PROXIMITY,17,0,8,0,42
6,DEGREE,17,0,8,0,42
6,PROTECTION,11,0,9,0,41
7,PROXIMITY,23,0,10,0,40
7,DEGREE,15,0,15,0,35
7,PROTECTION,15,0,11,0,39
8,PROXIMITY,21,0,5,0,45
8,DEGREE,17,0,9,0,41
8,PROTECTION,11,0,11,0,39
9,PROXIMITY,19,0,4,0,46
9,DEGREE,17,0,4,0,46
9,PROTECTION,7,0,9,0,41
10,PROXIMITY,19,0,1,0,49
10,DEGREE,19,0,1,0,49
10,PROTECTION,17,0,1,0,49
11,PROXIMITY,23,0,8,0,42
11,DEGREE,15,0,15,0,35
11,PROTECTION,15,0,12,0,38
12,PROXIMITY,11,0,22,0,28
12,DEGREE,15,0,19,0,31
12,PROTECTION,9,0,18,0,32
13,PROXIMITY,11,0,20,0,30
13,DEGREE,11,0,20,0,30
13,PROTECTION,7,0,19,0,31
14,PROXIMITY,15,0,4,0,46
14,DEGREE,13,0,7,0,43
14,PROTECTION,11,0,8,0,42
15,PROXIMITY,9,0,12,0,38
15,DEGREE,15,0,8,0,42
15,PROTECTION,8,0,12,0,38
16,PROXIMITY,15,0,10,0,40
16,DEGREE,13,0,11,0,39
16,PROTECTION,11,0,10,0,40
17,PROXIMITY,17,0,6,0,44
17,DEGREE,17,0,7,0,43
17,PROTECTION,11,0,8,0,42
18,PROXIMITY,13,0,8,0,42
18,DEGREE,19,0,5,0,45
18,PROTECTION,13,0,7,0,43
19,PROXIMITY,23,0,1,0,49
19,DEGREE,21,0,3,0,47
19,PROTECTION,23,0,1,0,49
20,PROXIMITY,25,0,3,0,47
20,DEGREE,19,0,9,0,41
20,PROTECTION,17,0,8,0,42
21,PROXIMITY,13,0,14,0,36
21,DEGREE,11,0,18,0,32
21,PROTECTION,8,0,14,0,36
22,PROXIMITY,17,0,7,0,43
22,DEGREE,15,0,7,0,43
22,PROTECTION,11,0,8,0,42
23,PROXIMITY,23,0,5,0,45
23,DEGREE,19,0,9,0,41
23,PROTECTION,17,0,9,0,41
24,PROXIMITY,13,0,12,0,38
24,DEGREE,13,0,13,0,37
24,PROTECTION,11,0,11,0,39
25,PROXIMITY,25,0,2,0,48
25,DEGREE,13,0,12,0,38
25,PROTECTION,11,0,8,0,42
26,PROXIMITY,19,0,1,0,49
26,DEGREE,11,0,8,0,42
26,PROTECTION,13,0,5,0,45
27,PROXIMITY,19,0,3,0,47
27,DEGREE,13,0,10,0,40
27,PROTECTION,9,0,7,0,43
28,PROXIMITY,13,0,9,0,41
28,DEGREE,15,0,9,0,41
28,PROTECTION,11,0,8,0,42
29,PROXIMITY,13,0,17,0,33
29,DEGREE,9,0,20,0,30
29,PROTECTION,6,0,21,0,29
30,PROXIMITY,11,0,17,0,33
30,DEGREE,19,0,10,0,40
30,PROTECTION,19,0,6,0,44
31,PROXIMITY,17,0,1,0,49
31,DEGREE,15,0,3,0,47
31,PROTECTION,17,0,1,0,49
32,PROXIMITY,13,0,11,0,39
32,DEGREE,13,0,10,0,40
32,PROTECTION,9,0,11,0,39
33,PROXIMITY,15,0,6,0,44
33,DEGREE,17,0,3,0,47
33,PROTECTION,15,0,3,0,47
34,PROXIMITY,15,0,13,0,37
34,DEGREE,9,0,20,0,30
34,PROTECTION,10,0,16,0,34
35,PROXIMITY,19,0,3,0,47
35,DEGREE,15,0,4,0,46
35,PROTECTION,11,0,6,0,44
36,PROXIMITY,37,0,1,0,49
36,DEGREE,29,0,8,0,42
36,PROTECTION,17,0,10,0,40
37,PROXIMITY,19,0,1,0,49
37,DEGREE,19,0,3,0,47
37,PROTECTION,11,0,5,0,45
38,PROXIMITY,15,0,3,0,47
38,DEGREE,11,0,7,0,43
38,PROTECTION,6,0,9,0,41
39,PROXIMITY,27,0,2,0,48
39,DEGREE,27,0,2,0,48
39,PROTECTION,13,0,9,0,41
40,PROXIMITY,19,0,2,0,48
40,DEGREE,19,0,2,0,48
40,PROTECTION,13,0,6,0,44
41,PROXIMITY,25,0,1,0,49
41,DEGREE,17,0,6,0,44
41,PROTECTION,15,0,7,0,43
42,PROXIMITY,37,0,1,0,49
42,DEGREE,19,0,11,0,39
42,PROTECTION,13,0,11,0,39
43,PROXIMITY,19,0,1,0,49
43,DEGREE,11,0,8,0,42
43,PROTECTION,11,0,6,0,44
44,PROXIMITY,23,0,3,0,47
44,DEGREE,17,0,6,0,44
44,PROTECTION,15,0,7,0,43
45,PROXIMITY,21,0,7,0,43
45,DEGREE,17,0,9,0,41
45,PROTECTION,17,0,7,0,43
46,PROXIMITY,15,0,1,0,49
46,DEGREE,13,0,3,0,47
46,PROTECTION,9,0,4,0,46
47,PROXIMITY,25,0,1,0,49
47,DEGREE,17,0,4,0,46
47,PROTECTION,17,0,4,0,46
48,PROXIMITY,29,0,1,0,49
48,DEGREE,15,0,9,0,41
48,PROTECTION,7,0,13,0,37
49,PROXIMITY,19,0,1,0,49
49,DEGREE,17,0,2,0,48
49,PROTECTION,13,0,5,0,45

