OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROTECTION,11,0,31,0,19
1,DEGREE,21,0,22,0,28
2,PROTECTION,11,0,28,0,22
3,PROXIMITY,65,0,1,0,49
4,PROTECTION,11,0,30,0,20
5,PROTECTION,10,0,31,0,19
6,PROTECTION,19,0,24,0,26
7,PROTECTION,11,0,31,0,19
8,PROTECTION,17,0,21,0,29
9,PROTECTION,13,0,24,0,26
10,PROTECTION,17,0,18,0,32
11,PROXIMITY,29,0,21,0,29
12,DEGREE,17,0,29,0,21
13,PROTECTION,11,0,32,0,18
14,PROTECTION,9,0,32,0,18
15,PROXIMITY,77,0,1,0,49
16,PROTECTION,9,0,28,0,22
17,PROXIMITY,57,0,1,0,49
18,PROXIMITY,41,0,16,0,34
19,PROTECTION,11,0,31,0,19
20,DEGREE,27,0,26,0,24
21,PROTECTION,11,0,23,0,27
22,PROTECTION,19,0,20,0,30
23,PROTECTION,9,0,30,0,20
24,PROTECTION,15,0,26,0,24
25,PROTECTION,10,0,28,0,22
26,PROXIMITY,75,0,1,0,49
27,PROTECTION,13,0,29,0,21
28,PROTECTION,19,0,19,0,31
29,PROXIMITY,67,0,2,0,48
30,PROTECTION,10,0,29,0,21
31,PROXIMITY,73,0,1,0,49
32,PROTECTION,11,0,30,0,20
33,PROTECTION,15,0,23,0,27
34,PROXIMITY,71,0,1,0,49
35,PROTECTION,15,0,25,0,25
36,PROXIMITY,21,0,20,0,30
37,PROXIMITY,51,0,5,0,45
38,PROXIMITY,21,0,29,0,21
39,PROXIMITY,57,0,1,0,49
40,PROXIMITY,67,0,3,0,47
41,PROXIMITY,23,0,22,0,28
42,PROTECTION,10,0,27,0,23
43,PROXIMITY,77,0,1,0,49
44,PROXIMITY,45,0,9,0,41
45,PROTECTION,49,0,1,0,49
46,PROXIMITY,63,0,1,0,49
47,PROXIMITY,73,0,1,0,49
48,PROXIMITY,73,0,1,0,49
49,PROXIMITY,0,0,1,0,49
49,DEGREE,0,0,1,0,49
49,PROTECTION,0,0,1,0,49

