P VALUE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
0.05,DETERMINISTIC,PROXIMITY,2
0.05,DETERMINISTIC,DEGREE,8
0.05,DETERMINISTIC,PROTECTION,490
0.05,DETERMINISTIC,PROXIMITY,2
0.05,DETERMINISTIC,DEGREE,8
0.05,DETERMINISTIC,PROTECTION,490
0.05,DETERMINISTIC,PROXIMITY,2
0.05,DETERMINISTIC,DEGREE,8
0.05,DETERMINISTIC,PROTECTION,490
0.05,DETERMINISTIC,PROXIMITY,2
0.05,DETERMINISTIC,DEGREE,8
0.05,DETERMINISTIC,PROTECTION,490
0.05,DETERMINISTIC,PROXIMITY,2
0.05,DETERMINISTIC,DEGREE,8
0.05,DETERMINISTIC,PROTECTION,490
0.05,DETERMINISTIC,PROXIMITY,2
0.05,DETERMINISTIC,DEGREE,8
0.05,DETERMINISTIC,PROTECTION,490
0.05,DETERMINISTIC,PROXIMITY,2
0.05,DETERMINISTIC,DEGREE,8
0.05,DETERMINISTIC,PROTECTION,490
0.05,DETERMINISTIC,PROXIMITY,2
0.05,DETERMINISTIC,DEGREE,8
0.05,DETERMINISTIC,PROTECTION,490
0.05,DETERMINISTIC,PROXIMITY,2
0.05,DETERMINISTIC,DEGREE,8
0.05,DETERMINISTIC,PROTECTION,490
0.05,DETERMINISTIC,PROXIMITY,2
0.05,DETERMINISTIC,DEGREE,8
0.05,DETERMINISTIC,PROTECTION,490
0.10,DETERMINISTIC,PROXIMITY,5
0.10,DETERMINISTIC,DEGREE,5
0.10,DETERMINISTIC,PROTECTION,490
0.10,DETERMINISTIC,PROXIMITY,5
0.10,DETERMINISTIC,DEGREE,5
0.10,DETERMINISTIC,PROTECTION,490
0.10,DETERMINISTIC,PROXIMITY,5
0.10,DETERMINISTIC,DEGREE,5
0.10,DETERMINISTIC,PROTECTION,490
0.10,DETERMINISTIC,PROXIMITY,5
0.10,DETERMINISTIC,DEGREE,5
0.10,DETERMINISTIC,PROTECTION,490
0.10,DETERMINISTIC,PROXIMITY,5
0.10,DETERMINISTIC,DEGREE,5
0.10,DETERMINISTIC,PROTECTION,490
0.10,DETERMINISTIC,PROXIMITY,5
0.10,DETERMINISTIC,DEGREE,5
0.10,DETERMINISTIC,PROTECTION,490
0.10,DETERMINISTIC,PROXIMITY,5
0.10,DETERMINISTIC,DEGREE,5
0.10,DETERMINISTIC,PROTECTION,490
0.10,DETERMINISTIC,PROXIMITY,5
0.10,DETERMINISTIC,DEGREE,5
0.10,DETERMINISTIC,PROTECTION,490
0.10,DETERMINISTIC,PROXIMITY,5
0.10,DETERMINISTIC,DEGREE,5
0.10,DETERMINISTIC,PROTECTION,490
0.10,DETERMINISTIC,PROXIMITY,5
0.10,DETERMINISTIC,DEGREE,5
0.10,DETERMINISTIC,PROTECTION,490
0.15,DETERMINISTIC,PROXIMITY,7
0.15,DETERMINISTIC,DEGREE,3
0.15,DETERMINISTIC,PROTECTION,490
0.15,DETERMINISTIC,PROXIMITY,7
0.15,DETERMINISTIC,DEGREE,3
0.15,DETERMINISTIC,PROTECTION,490
0.15,DETERMINISTIC,PROXIMITY,7
0.15,DETERMINISTIC,DEGREE,3
0.15,DETERMINISTIC,PROTECTION,490
0.15,DETERMINISTIC,PROXIMITY,7
0.15,DETERMINISTIC,DEGREE,3
0.15,DETERMINISTIC,PROTECTION,490
0.15,DETERMINISTIC,PROXIMITY,7
0.15,DETERMINISTIC,DEGREE,3
0.15,DETERMINISTIC,PROTECTION,490
0.15,DETERMINISTIC,PROXIMITY,7
0.15,DETERMINISTIC,DEGREE,3
0.15,DETERMINISTIC,PROTECTION,490
0.15,DETERMINISTIC,PROXIMITY,7
0.15,DETERMINISTIC,DEGREE,3
0.15,DETERMINISTIC,PROTECTION,490
0.15,DETERMINISTIC,PROXIMITY,7
0.15,DETERMINISTIC,DEGREE,3
0.15,DETERMINISTIC,PROTECTION,490
0.15,DETERMINISTIC,PROXIMITY,7
0.15,DETERMINISTIC,DEGREE,3
0.15,DETERMINISTIC,PROTECTION,490
0.15,DETERMINISTIC,PROXIMITY,7
0.15,DETERMINISTIC,DEGREE,3
0.15,DETERMINISTIC,PROTECTION,490
0.20,DETERMINISTIC,PROXIMITY,26
0.20,DETERMINISTIC,DEGREE,1
0.20,DETERMINISTIC,PROTECTION,478
0.20,DETERMINISTIC,PROXIMITY,26
0.20,DETERMINISTIC,DEGREE,1
0.20,DETERMINISTIC,PROTECTION,478
0.20,DETERMINISTIC,PROXIMITY,26
0.20,DETERMINISTIC,DEGREE,1
0.20,DETERMINISTIC,PROTECTION,478
0.20,DETERMINISTIC,PROXIMITY,26
0.20,DETERMINISTIC,DEGREE,1
0.20,DETERMINISTIC,PROTECTION,478
0.20,DETERMINISTIC,PROXIMITY,26
0.20,DETERMINISTIC,DEGREE,1
0.20,DETERMINISTIC,PROTECTION,478
0.20,DETERMINISTIC,PROXIMITY,26
0.20,DETERMINISTIC,DEGREE,1
0.20,DETERMINISTIC,PROTECTION,478
0.20,DETERMINISTIC,PROXIMITY,26
0.20,DETERMINISTIC,DEGREE,1
0.20,DETERMINISTIC,PROTECTION,478
0.20,DETERMINISTIC,PROXIMITY,26
0.20,DETERMINISTIC,DEGREE,1
0.20,DETERMINISTIC,PROTECTION,478
0.20,DETERMINISTIC,PROXIMITY,26
0.20,DETERMINISTIC,DEGREE,1
0.20,DETERMINISTIC,PROTECTION,478
0.20,DETERMINISTIC,PROXIMITY,26
0.20,DETERMINISTIC,DEGREE,1
0.20,DETERMINISTIC,PROTECTION,478
0.25,DETERMINISTIC,PROXIMITY,29
0.25,DETERMINISTIC,DEGREE,0
0.25,DETERMINISTIC,PROTECTION,477
0.25,DETERMINISTIC,PROXIMITY,29
0.25,DETERMINISTIC,DEGREE,0
0.25,DETERMINISTIC,PROTECTION,477
0.25,DETERMINISTIC,PROXIMITY,29
0.25,DETERMINISTIC,DEGREE,0
0.25,DETERMINISTIC,PROTECTION,477
0.25,DETERMINISTIC,PROXIMITY,29
0.25,DETERMINISTIC,DEGREE,0
0.25,DETERMINISTIC,PROTECTION,477
0.25,DETERMINISTIC,PROXIMITY,29
0.25,DETERMINISTIC,DEGREE,0
0.25,DETERMINISTIC,PROTECTION,477
0.25,DETERMINISTIC,PROXIMITY,29
0.25,DETERMINISTIC,DEGREE,0
0.25,DETERMINISTIC,PROTECTION,477
0.25,DETERMINISTIC,PROXIMITY,29
0.25,DETERMINISTIC,DEGREE,0
0.25,DETERMINISTIC,PROTECTION,477
0.25,DETERMINISTIC,PROXIMITY,29
0.25,DETERMINISTIC,DEGREE,0
0.25,DETERMINISTIC,PROTECTION,477
0.25,DETERMINISTIC,PROXIMITY,29
0.25,DETERMINISTIC,DEGREE,0
0.25,DETERMINISTIC,PROTECTION,477
0.25,DETERMINISTIC,PROXIMITY,29
0.25,DETERMINISTIC,DEGREE,0
0.25,DETERMINISTIC,PROTECTION,477
0.30,DETERMINISTIC,PROXIMITY,45
0.30,DETERMINISTIC,DEGREE,1
0.30,DETERMINISTIC,PROTECTION,471
0.30,DETERMINISTIC,PROXIMITY,45
0.30,DETERMINISTIC,DEGREE,1
0.30,DETERMINISTIC,PROTECTION,471
0.30,DETERMINISTIC,PROXIMITY,45
0.30,DETERMINISTIC,DEGREE,1
0.30,DETERMINISTIC,PROTECTION,471
0.30,DETERMINISTIC,PROXIMITY,45
0.30,DETERMINISTIC,DEGREE,1
0.30,DETERMINISTIC,PROTECTION,471
0.30,DETERMINISTIC,PROXIMITY,45
0.30,DETERMINISTIC,DEGREE,1
0.30,DETERMINISTIC,PROTECTION,471
0.30,DETERMINISTIC,PROXIMITY,45
0.30,DETERMINISTIC,DEGREE,1
0.30,DETERMINISTIC,PROTECTION,471
0.30,DETERMINISTIC,PROXIMITY,45
0.30,DETERMINISTIC,DEGREE,1
0.30,DETERMINISTIC,PROTECTION,471
0.30,DETERMINISTIC,PROXIMITY,45
0.30,DETERMINISTIC,DEGREE,1
0.30,DETERMINISTIC,PROTECTION,471
0.30,DETERMINISTIC,PROXIMITY,45
0.30,DETERMINISTIC,DEGREE,1
0.30,DETERMINISTIC,PROTECTION,471
