P VALUE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
0.05,MIXED,PROXIMITY,224
0.05,MIXED,DEGREE,79
0.05,MIXED,PROTECTION,205
0.05,MIXED,PROXIMITY,224
0.05,MIXED,DEGREE,79
0.05,MIXED,PROTECTION,205
0.05,MIXED,PROXIMITY,224
0.05,MIXED,DEGREE,79
0.05,MIXED,PROTECTION,205
0.05,MIXED,PROXIMITY,224
0.05,MIXED,DEGREE,79
0.05,MIXED,PROTECTION,205
0.05,MIXED,PROXIMITY,224
0.05,MIXED,DEGREE,79
0.05,MIXED,PROTECTION,205
0.05,MIXED,PROXIMITY,224
0.05,MIXED,DEGREE,79
0.05,MIXED,PROTECTION,205
0.05,MIXED,PROXIMITY,224
0.05,MIXED,DEGREE,79
0.05,MIXED,PROTECTION,205
0.05,MIXED,PROXIMITY,224
0.05,MIXED,DEGREE,79
0.05,MIXED,PROTECTION,205
0.05,MIXED,PROXIMITY,224
0.05,MIXED,DEGREE,79
0.05,MIXED,PROTECTION,205
0.05,MIXED,PROXIMITY,224
0.05,MIXED,DEGREE,79
0.05,MIXED,PROTECTION,205
0.10,MIXED,PROXIMITY,257
0.10,MIXED,DEGREE,73
0.10,MIXED,PROTECTION,180
0.10,MIXED,PROXIMITY,257
0.10,MIXED,DEGREE,73
0.10,MIXED,PROTECTION,180
0.10,MIXED,PROXIMITY,257
0.10,MIXED,DEGREE,73
0.10,MIXED,PROTECTION,180
0.10,MIXED,PROXIMITY,257
0.10,MIXED,DEGREE,73
0.10,MIXED,PROTECTION,180
0.10,MIXED,PROXIMITY,257
0.10,MIXED,DEGREE,73
0.10,MIXED,PROTECTION,180
0.10,MIXED,PROXIMITY,257
0.10,MIXED,DEGREE,73
0.10,MIXED,PROTECTION,180
0.10,MIXED,PROXIMITY,257
0.10,MIXED,DEGREE,73
0.10,MIXED,PROTECTION,180
0.10,MIXED,PROXIMITY,257
0.10,MIXED,DEGREE,73
0.10,MIXED,PROTECTION,180
0.10,MIXED,PROXIMITY,257
0.10,MIXED,DEGREE,73
0.10,MIXED,PROTECTION,180
0.10,MIXED,PROXIMITY,257
0.10,MIXED,DEGREE,73
0.10,MIXED,PROTECTION,180
0.15,MIXED,PROXIMITY,262
0.15,MIXED,DEGREE,97
0.15,MIXED,PROTECTION,149
0.15,MIXED,PROXIMITY,262
0.15,MIXED,DEGREE,97
0.15,MIXED,PROTECTION,149
0.15,MIXED,PROXIMITY,262
0.15,MIXED,DEGREE,97
0.15,MIXED,PROTECTION,149
0.15,MIXED,PROXIMITY,262
0.15,MIXED,DEGREE,97
0.15,MIXED,PROTECTION,149
0.15,MIXED,PROXIMITY,262
0.15,MIXED,DEGREE,97
0.15,MIXED,PROTECTION,149
0.15,MIXED,PROXIMITY,262
0.15,MIXED,DEGREE,97
0.15,MIXED,PROTECTION,149
0.15,MIXED,PROXIMITY,262
0.15,MIXED,DEGREE,97
0.15,MIXED,PROTECTION,149
0.15,MIXED,PROXIMITY,262
0.15,MIXED,DEGREE,97
0.15,MIXED,PROTECTION,149
0.15,MIXED,PROXIMITY,262
0.15,MIXED,DEGREE,97
0.15,MIXED,PROTECTION,149
0.15,MIXED,PROXIMITY,262
0.15,MIXED,DEGREE,97
0.15,MIXED,PROTECTION,149
0.20,MIXED,PROXIMITY,251
0.20,MIXED,DEGREE,85
0.20,MIXED,PROTECTION,169
0.20,MIXED,PROXIMITY,251
0.20,MIXED,DEGREE,85
0.20,MIXED,PROTECTION,169
0.20,MIXED,PROXIMITY,251
0.20,MIXED,DEGREE,85
0.20,MIXED,PROTECTION,169
0.20,MIXED,PROXIMITY,251
0.20,MIXED,DEGREE,85
0.20,MIXED,PROTECTION,169
0.20,MIXED,PROXIMITY,251
0.20,MIXED,DEGREE,85
0.20,MIXED,PROTECTION,169
0.20,MIXED,PROXIMITY,251
0.20,MIXED,DEGREE,85
0.20,MIXED,PROTECTION,169
0.20,MIXED,PROXIMITY,251
0.20,MIXED,DEGREE,85
0.20,MIXED,PROTECTION,169
0.20,MIXED,PROXIMITY,251
0.20,MIXED,DEGREE,85
0.20,MIXED,PROTECTION,169
0.20,MIXED,PROXIMITY,251
0.20,MIXED,DEGREE,85
0.20,MIXED,PROTECTION,169
0.20,MIXED,PROXIMITY,251
0.20,MIXED,DEGREE,85
0.20,MIXED,PROTECTION,169
0.25,MIXED,PROXIMITY,253
0.25,MIXED,DEGREE,88
0.25,MIXED,PROTECTION,173
0.25,MIXED,PROXIMITY,253
0.25,MIXED,DEGREE,88
0.25,MIXED,PROTECTION,173
0.25,MIXED,PROXIMITY,253
0.25,MIXED,DEGREE,88
0.25,MIXED,PROTECTION,173
0.25,MIXED,PROXIMITY,253
0.25,MIXED,DEGREE,88
0.25,MIXED,PROTECTION,173
0.25,MIXED,PROXIMITY,253
0.25,MIXED,DEGREE,88
0.25,MIXED,PROTECTION,173
0.25,MIXED,PROXIMITY,253
0.25,MIXED,DEGREE,88
0.25,MIXED,PROTECTION,173
0.25,MIXED,PROXIMITY,253
0.25,MIXED,DEGREE,88
0.25,MIXED,PROTECTION,173
