P VALUE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
0.05,RANDOM,PROXIMITY,47
0.05,RANDOM,DEGREE,6
0.05,RANDOM,PROTECTION,447
0.05,RANDOM,PROXIMITY,47
0.05,RANDOM,DEGREE,6
0.05,RANDOM,PROTECTION,447
0.05,RANDOM,PROXIMITY,47
0.05,RANDOM,DEGREE,6
0.05,RANDOM,PROTECTION,447
0.05,RANDOM,PROXIMITY,47
0.05,RANDOM,DEGREE,6
0.05,RANDOM,PROTECTION,447
0.05,RANDOM,PROXIMITY,47
0.05,RANDOM,DEGREE,6
0.05,RANDOM,PROTECTION,447
0.05,RANDOM,PROXIMITY,47
0.05,RANDOM,DEGREE,6
0.05,RANDOM,PROTECTION,447
0.05,RANDOM,PROXIMITY,47
0.05,RANDOM,DEGREE,6
0.05,RANDOM,PROTECTION,447
0.05,RANDOM,PROXIMITY,47
0.05,RANDOM,DEGREE,6
0.05,RANDOM,PROTECTION,447
0.05,RANDOM,PROXIMITY,47
0.05,RANDOM,DEGREE,6
0.05,RANDOM,PROTECTION,447
0.05,RANDOM,PROXIMITY,47
0.05,RANDOM,DEGREE,6
0.05,RANDOM,PROTECTION,447
0.10,RANDOM,PROXIMITY,69
0.10,RANDOM,DEGREE,8
0.10,RANDOM,PROTECTION,423
0.10,RANDOM,PROXIMITY,69
0.10,RANDOM,DEGREE,8
0.10,RANDOM,PROTECTION,423
0.10,RANDOM,PROXIMITY,69
0.10,RANDOM,DEGREE,8
0.10,RANDOM,PROTECTION,423
0.10,RANDOM,PROXIMITY,69
0.10,RANDOM,DEGREE,8
0.10,RANDOM,PROTECTION,423
0.10,RANDOM,PROXIMITY,69
0.10,RANDOM,DEGREE,8
0.10,RANDOM,PROTECTION,423
0.10,RANDOM,PROXIMITY,69
0.10,RANDOM,DEGREE,8
0.10,RANDOM,PROTECTION,423
0.10,RANDOM,PROXIMITY,69
0.10,RANDOM,DEGREE,8
0.10,RANDOM,PROTECTION,423
0.10,RANDOM,PROXIMITY,69
0.10,RANDOM,DEGREE,8
0.10,RANDOM,PROTECTION,423
0.10,RANDOM,PROXIMITY,69
0.10,RANDOM,DEGREE,8
0.10,RANDOM,PROTECTION,423
0.10,RANDOM,PROXIMITY,69
0.10,RANDOM,DEGREE,8
0.10,RANDOM,PROTECTION,423
0.15,RANDOM,PROXIMITY,68
0.15,RANDOM,DEGREE,10
0.15,RANDOM,PROTECTION,423
0.15,RANDOM,PROXIMITY,68
0.15,RANDOM,DEGREE,10
0.15,RANDOM,PROTECTION,423
0.15,RANDOM,PROXIMITY,68
0.15,RANDOM,DEGREE,10
0.15,RANDOM,PROTECTION,423
0.15,RANDOM,PROXIMITY,68
0.15,RANDOM,DEGREE,10
0.15,RANDOM,PROTECTION,423
0.15,RANDOM,PROXIMITY,68
0.15,RANDOM,DEGREE,10
0.15,RANDOM,PROTECTION,423
0.15,RANDOM,PROXIMITY,68
0.15,RANDOM,DEGREE,10
0.15,RANDOM,PROTECTION,423
0.15,RANDOM,PROXIMITY,68
0.15,RANDOM,DEGREE,10
0.15,RANDOM,PROTECTION,423
0.15,RANDOM,PROXIMITY,68
0.15,RANDOM,DEGREE,10
0.15,RANDOM,PROTECTION,423
