OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,3,0,7,0,3
0,DEGREE,3,0,7,0,3
0,PROTECTION,2,0,6,0,4
1,PROXIMITY,2,0,9,0,1
1,DEGREE,2,0,9,0,1
1,PROTECTION,2,0,6,0,4
2,PROXIMITY,3,0,7,0,3
2,DEGREE,3,0,7,0,3
2,PROTECTION,3,0,6,0,4
3,PROXIMITY,2,0,8,0,2
3,DEGREE,2,0,8,0,2
3,PROTECTION,2,0,6,0,4
4,PROXIMITY,3,0,8,0,2
4,DEGREE,3,0,8,0,2
4,PROTECTION,3,0,5,0,5
5,PROXIMITY,3,0,7,0,3
5,DEGREE,3,0,7,0,3
5,PROTECTION,2,0,5,0,5
6,PROXIMITY,2,0,9,0,1
6,DEGREE,2,0,9,0,1
6,PROTECTION,2,0,7,0,3
7,PROXIMITY,3,0,5,0,5
7,DEGREE,3,0,5,0,5
7,PROTECTION,2,0,5,0,5
8,PROXIMITY,2,0,9,0,1
8,DEGREE,2,0,9,0,1
8,PROTECTION,2,0,7,0,3
9,PROXIMITY,2,0,8,0,2
9,DEGREE,2,0,8,0,2
9,PROTECTION,2,0,7,0,3
