OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,2,0,19,0,1
0,DEGREE,2,0,19,0,1
0,PROTECTION,2,0,15,0,5
1,PROXIMITY,2,0,19,0,1
1,DEGREE,2,0,19,0,1
1,PROTECTION,2,0,16,0,4
2,PROXIMITY,2,0,19,0,1
2,DEGREE,2,0,19,0,1
2,PROTECTION,2,0,15,0,5
3,PROXIMITY,2,0,17,0,3
3,DEGREE,2,0,17,0,3
3,PROTECTION,2,0,16,0,4
4,PROXIMITY,2,0,17,0,3
4,DEGREE,2,0,17,0,3
4,PROTECTION,2,0,16,0,4
5,PROXIMITY,2,0,15,0,5
5,DEGREE,2,0,15,0,5
5,PROTECTION,2,0,13,0,7
6,PROXIMITY,2,0,19,0,1
6,DEGREE,2,0,19,0,1
6,PROTECTION,2,0,15,0,5
7,PROXIMITY,2,0,18,0,2
7,DEGREE,2,0,18,0,2
7,PROTECTION,2,0,15,0,5
8,PROXIMITY,2,0,18,0,2
8,DEGREE,2,0,18,0,2
8,PROTECTION,2,0,15,0,5
9,PROXIMITY,2,0,19,0,1
9,DEGREE,2,0,19,0,1
9,PROTECTION,2,0,17,0,3
10,PROXIMITY,2,0,19,0,1
10,DEGREE,2,0,19,0,1
10,PROTECTION,2,0,15,0,5
11,PROXIMITY,2,0,17,0,3
11,DEGREE,2,0,17,0,3
11,PROTECTION,2,0,13,0,7
12,PROXIMITY,2,0,19,0,1
12,DEGREE,2,0,19,0,1
12,PROTECTION,2,0,16,0,4
13,PROXIMITY,2,0,19,0,1
13,DEGREE,2,0,19,0,1
13,PROTECTION,2,0,15,0,5
14,PROXIMITY,2,0,17,0,3
14,DEGREE,2,0,17,0,3
14,PROTECTION,2,0,14,0,6
15,PROXIMITY,2,0,16,0,4
15,DEGREE,2,0,16,0,4
15,PROTECTION,2,0,13,0,7
16,PROXIMITY,2,0,18,0,2
16,DEGREE,2,0,18,0,2
16,PROTECTION,2,0,16,0,4
17,PROXIMITY,2,0,18,0,2
17,DEGREE,2,0,18,0,2
17,PROTECTION,2,0,13,0,7
18,PROXIMITY,2,0,18,0,2
18,DEGREE,2,0,18,0,2
18,PROTECTION,2,0,13,0,7
19,PROXIMITY,2,0,18,0,2
19,DEGREE,2,0,18,0,2
19,PROTECTION,2,0,13,0,7

